rat,operator,speed_bucket,file,mean,median,std,count
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_it_tv_tti_1.csv,0.47349401768241317,0.45289081272943993,0.1692864295946602,28965
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_it_tv_tti_2.csv,0.45826698448134207,0.43474554675361654,0.16695064411308666,32543
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.4217036961183747,0.3920449477367724,0.1713213383511638,29635
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_se_tv_tti_0.csv,0.42172046971246924,0.3956548803171615,0.17049537373765533,30301
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_se_tv_tti_1.csv,0.4203888056664586,0.396407635608999,0.16969655339017425,33078
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_se_tv_tti_2.csv,0.4157145563919409,0.39174437123393235,0.16657250185044953,31577
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.4287669531527044,0.40047644526200776,0.16722713258007585,26419
5G,TIM/Vodafone,od_quasi_static,5G/location_10_od_interactivity_egaming_ch_tv_tti_0.csv,0.520489279115114,0.5424020672008406,0.16944110132228393,2841
5G,TIM/Vodafone,od_quasi_static,5G/location_10_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.5199112285257557,0.53337623573724,0.15668985828979995,3227
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_0.csv,0.4499318340593295,0.4084058617581563,0.1736422257744935,1470
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_1.csv,0.4949193807143254,0.47823686171329416,0.17428970314752212,579
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_2.csv,0.4993016231618983,0.46182228463592895,0.17753503980098304,1078
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_3.csv,0.42035751223861545,0.41218939951983724,0.1627452152502825,1526
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.4325774810082065,0.3702901485751827,0.18077791886644712,1408
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.5082364535895033,0.5064264464703607,0.16530696653013266,1281
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.4586538098179171,0.4085571894756883,0.1774077212037392,1020
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_it_tv_tti_0.csv,0.40340591282481136,0.3846175937592936,0.15148958164879092,4310
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_it_tv_tti_1.csv,0.42534412587832837,0.41908672701920585,0.1508167316346502,2947
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_it_tv_tti_2.csv,0.4146573611136216,0.39972247114954645,0.15916276908227142,4131
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.42364449741091376,0.42485718045668575,0.14932475988020627,2439
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_se_tv_tti_0.csv,0.4097605316639979,0.4020604983247189,0.14670098153785946,3546
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_se_tv_tti_1.csv,0.4059292083585157,0.39701000632216377,0.1471183887941495,4190
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_se_tv_tti_2.csv,0.43687362403974445,0.4294184821375985,0.13902311569959172,2573
5G,TIM/Vodafone,od_quasi_static,5G/location_4_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.4366497646077265,0.43550699828833306,0.15323017266359626,1330
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_ch_tv_tti_0.csv,0.5030217663850249,0.4883068654396868,0.15955772979553962,18985
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_ch_tv_tti_1.csv,0.4655119008633456,0.4467870563004508,0.16172182982237823,11925
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_ch_tv_tti_2.csv,0.5014925529594382,0.4924229846514712,0.15983988584191408,15454
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.5027357925929238,0.4963080621741893,0.15200682339499183,21110
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_it_tv_tti_0.csv,0.4436826458332644,0.43109209540734666,0.14012574515525847,25313
5G,TIM/Vodafone,od_quasi_static,5G/location_7_od_interactivity_egaming_it_tv_tti_1.csv,0.45921105583816246,0.4452617127678881,0.1474659666036428,21631
