row,col,z
13,29,8
9,28,13
14,28,8
9,12,12
9,13,13
9,13,14
9,14,13
9,15,13
9,16,13
9,17,13
9,18,13
9,19,13
9,20,13
9,21,13
9,22,13
9,23,13
9,24,13
9,25,13
9,26,13
9,27,13
9,12,13
9,13,12
9,12,14
9,14,12
9,15,12
9,16,12
9,17,12
9,18,12
9,19,12
9,20,12
9,21,12
9,22,12
9,23,12
9,24,12
9,25,12
9,26,12
9,27,12
13,8,12
14,8,13
14,8,14
15,8,13
16,8,13
17,8,13
18,8,13
13,8,13
14,8,12
13,8,14
15,8,12
16,8,12
17,8,12
18,8,12
13,12,8
14,13,8
14,14,8
15,13,8
14,15,8
16,13,8
14,16,8
17,13,8
14,17,8
18,13,8
14,18,8
14,19,8
14,20,8
14,21,8
14,22,8
14,23,8
14,24,8
14,25,8
14,26,8
14,27,8
13,13,8
14,12,8
13,14,8
15,12,8
13,15,8
16,12,8
13,16,8
17,12,8
13,17,8
18,12,8
13,18,8
13,19,8
13,20,8
13,21,8
13,22,8
13,23,8
13,24,8
13,25,8
13,26,8
13,27,8
20,12,13
20,13,12
10,30,14
15,30,9
20,11,14
20,14,11
19,9,14
19,14,9
8,27,14
8,28,14
15,27,7
16,28,7
16,29,7
15,28,7
8,29,14
16,27,7
15,29,7
8,14,14
8,15,14
8,16,14
8,17,14
8,18,14
8,19,14
8,20,14
8,21,14
8,22,14
8,23,14
8,24,14
8,25,14
8,26,14
15,7,14
16,7,14
17,7,14
18,7,14
15,14,7
16,15,7
16,16,7
17,15,7
16,17,7
18,15,7
16,18,7
16,19,7
16,20,7
16,21,7
16,22,7
16,23,7
16,24,7
16,25,7
16,26,7
15,15,7
16,14,7
15,16,7
17,14,7
15,17,7
18,14,7
15,18,7
15,19,7
15,20,7
15,21,7
15,22,7
15,23,7
15,24,7
15,25,7
15,26,7
17,30,8
17,29,6
18,29,6
20,16,10
19,16,8
17,26,6
18,27,6
18,28,6
17,27,6
18,26,6
17,28,6
17,16,6
18,17,6
18,18,6
18,19,6
18,20,6
18,21,6
18,22,6
18,23,6
18,24,6
18,25,6
17,17,6
18,16,6
17,18,6
17,19,6
17,20,6
17,21,6
17,22,6
17,23,6
17,24,6
17,25,6
19,30,9
19,26,7
19,27,7
19,28,7
19,29,7
20,18,9
19,18,7
19,19,7
19,20,7
19,21,7
19,22,7
19,23,7
19,24,7
19,25,7
10,9,10
10,10,9
11,9,9
10,9,11
10,11,9
12,9,9
10,9,12
10,12,9
13,9,9
10,9,13
10,13,9
14,9,9
10,9,14
10,14,9
15,9,9
10,15,9
16,9,9
10,16,9
17,9,9
10,17,9
18,9,9
10,18,9
10,19,9
10,20,9
10,21,9
10,22,9
10,23,9
10,24,9
10,25,9
10,26,9
10,27,9
10,28,9
10,29,9
19,10,11
19,11,10
11,30,11
12,30,10
9,11,11
12,8,11
12,11,8
9,11,12
9,12,11
12,8,12
13,8,11
12,12,8
13,11,8
9,11,13
9,13,11
12,8,13
14,8,11
12,13,8
14,11,8
9,11,14
9,14,11
12,8,14
15,8,11
12,14,8
15,11,8
9,15,11
16,8,11
12,15,8
16,11,8
9,16,11
17,8,11
12,16,8
17,11,8
9,17,11
18,8,11
12,17,8
18,11,8
9,18,11
12,18,8
9,19,11
12,19,8
9,20,11
12,20,8
9,21,11
12,21,8
9,22,11
12,22,8
9,23,11
12,23,8
9,24,11
12,24,8
9,25,11
12,25,8
9,26,11
12,26,8
9,27,11
12,27,8
9,28,11
12,28,8
9,29,11
12,29,8
20,12,12
10,30,12
19,9,12
19,12,9
13,30,9
10,30,13
19,9,13
19,13,9
14,30,9
20,11,13
20,13,11
8,29,13
14,29,7
8,13,13
8,13,14
8,14,13
8,15,13
8,16,13
8,17,13
8,18,13
8,19,13
8,20,13
8,21,13
8,22,13
8,23,13
8,24,13
8,25,13
8,26,13
8,27,13
8,28,13
14,7,13
14,7,14
15,7,13
16,7,13
17,7,13
18,7,13
14,13,7
14,14,7
15,13,7
14,15,7
16,13,7
14,16,7
17,13,7
14,17,7
18,13,7
14,18,7
14,19,7
14,20,7
14,21,7
14,22,7
14,23,7
14,24,7
14,25,7
14,26,7
14,27,7
14,28,7
9,30,14
15,30,8
16,30,8
20,10,14
20,14,10
20,15,10
19,8,14
19,14,8
19,15,8
16,28,6
16,29,6
16,15,6
16,16,6
17,15,6
16,17,6
18,15,6
16,18,6
16,19,6
16,20,6
16,21,6
16,22,6
16,23,6
16,24,6
16,25,6
16,26,6
16,27,6
17,30,7
18,30,7
20,16,9
20,17,9
19,16,7
19,17,7
18,27,5
18,28,5
18,29,5
18,17,5
18,18,5
18,19,5
18,20,5
18,21,5
18,22,5
18,23,5
18,24,5
18,25,5
18,26,5
19,28,6
19,29,6
20,18,8
20,19,8
20,20,8
20,21,8
20,22,8
20,23,8
20,24,8
20,25,8
20,26,8
20,27,8
20,28,8
20,29,8
19,18,6
